2019-05-19 18:19:00
sign_sgd_majority_one-point_log-reg_fix-step_20_20,0_1
it: 289, loss: 2.4243437985186587, stepsize: 1.3297462369157235e-05
it: 290, loss: 2.4243755991144784, stepsize: 1.1967716132241512e-05
it: 291, loss: 2.424358946365219, stepsize: 1.1967716132241512e-05
it: 292, loss: 2.424396949752076, stepsize: 1.077094451901736e-05
it: 293, loss: 2.4243455189135386, stepsize: 1.077094451901736e-05
it: 294, loss: 2.4243966029966595, stepsize: 9.693850067115625e-06
it: 295, loss: 2.4243552109846966, stepsize: 9.693850067115625e-06
it: 296, loss: 2.4243847750075878, stepsize: 8.724465060404063e-06
it: 297, loss: 2.4244033228691304, stepsize: 7.852018554363658e-06
it: 298, loss: 2.424440107845168, stepsize: 7.066816698927292e-06
it: 299, loss: 2.4244758333456664, stepsize: 6.3601350290345626e-06
it: 300, loss: 2.424445213784882, stepsize: 6.3601350290345626e-06
it: 301, loss: 2.424416294059817, stepsize: 6.3601350290345626e-06
it: 302, loss: 2.4243878935207217, stepsize: 6.3601350290345626e-06
it: 303, loss: 2.4243575249114606, stepsize: 6.3601350290345626e-06
it: 304, loss: 2.4243897458295973, stepsize: 5.724121526131107e-06
it: 305, loss: 2.424416764055313, stepsize: 5.1517093735179955e-06
it: 306, loss: 2.424391962265663, stepsize: 5.1517093735179955e-06
it: 307, loss: 2.424415132217571, stepsize: 4.636538436166196e-06
it: 308, loss: 2.424436958426136, stepsize: 4.1728845925495765e-06
it: 309, loss: 2.4244567836228477, stepsize: 3.755596133294619e-06
it: 310, loss: 2.424453380970986, stepsize: 3.755596133294619e-06
it: 311, loss: 2.4244355334623293, stepsize: 3.755596133294619e-06
it: 312, loss: 2.4244453815548863, stepsize: 3.3800365199651575e-06
it: 313, loss: 2.4244616589948667, stepsize: 3.042032867968642e-06
it: 314, loss: 2.4244470136192406, stepsize: 3.042032867968642e-06
it: 315, loss: 2.4244640180882806, stepsize: 2.7378295811717778e-06
it: 316, loss: 2.424469069004465, stepsize: 2.4640466230546e-06
it: 317, loss: 2.4244576257703807, stepsize: 2.4640466230546e-06
it: 318, loss: 2.424460513008894, stepsize: 2.21764196074914e-06
it: 319, loss: 2.4244713773313453, stepsize: 1.995877764674226e-06
it: 320, loss: 2.4244808434514615, stepsize: 1.7962899882068035e-06
it: 321, loss: 2.424488284811371, stepsize: 1.6166609893861233e-06
it: 322, loss: 2.4244811292656996, stepsize: 1.6166609893861233e-06
it: 323, loss: 2.4244878113212556, stepsize: 1.4549948904475107e-06
it: 324, loss: 2.42448839621738, stepsize: 1.3094954014027598e-06
it: 325, loss: 2.424482757473133, stepsize: 1.3094954014027598e-06
it: 326, loss: 2.424475531156541, stepsize: 1.3094954014027598e-06
it: 327, loss: 2.4244693501549346, stepsize: 1.3094954014027598e-06
it: 328, loss: 2.424463860740633, stepsize: 1.3094954014027598e-06
it: 329, loss: 2.424464621474308, stepsize: 1.178545861262484e-06
it: 330, loss: 2.4244708282047718, stepsize: 1.0606912751362356e-06
it: 331, loss: 2.424466091712938, stepsize: 1.0606912751362356e-06
it: 332, loss: 2.424464021591099, stepsize: 1.0606912751362356e-06
it: 333, loss: 2.4244585816611757, stepsize: 1.0606912751362356e-06
it: 334, loss: 2.4244636747335893, stepsize: 9.54622147622612e-07
it: 335, loss: 2.424458812562104, stepsize: 9.54622147622612e-07
it: 336, loss: 2.4244558724037075, stepsize: 9.54622147622612e-07
it: 337, loss: 2.4244513664828125, stepsize: 9.54622147622612e-07
it: 338, loss: 2.424451292089938, stepsize: 9.54622147622612e-07
it: 339, loss: 2.4244466370398485, stepsize: 9.54622147622612e-07
it: 340, loss: 2.4244500892536642, stepsize: 8.591599328603508e-07
it: 341, loss: 2.4244547143716426, stepsize: 7.732439395743158e-07
it: 342, loss: 2.4244530623350613, stepsize: 7.732439395743158e-07
it: 343, loss: 2.4244566641369327, stepsize: 6.959195456168842e-07
it: 344, loss: 2.4244536652744966, stepsize: 6.959195456168842e-07
it: 345, loss: 2.4244497594060324, stepsize: 6.959195456168842e-07
it: 346, loss: 2.4244516570064794, stepsize: 6.263275910551958e-07
it: 347, loss: 2.4244483990839187, stepsize: 6.263275910551958e-07
it: 348, loss: 2.4244453247719426, stepsize: 6.263275910551958e-07
it: 349, loss: 2.424448424695214, stepsize: 5.636948319496762e-07
it: 350, loss: 2.4244457458795217, stepsize: 5.636948319496762e-07
it: 351, loss: 2.4244431073891937, stepsize: 5.636948319496762e-07
it: 352, loss: 2.424440428582102, stepsize: 5.636948319496762e-07
it: 353, loss: 2.424441500320012, stepsize: 5.073253487547086e-07
it: 354, loss: 2.424438941438911, stepsize: 5.073253487547086e-07
it: 355, loss: 2.424440138845614, stepsize: 4.5659281387923775e-07
it: 356, loss: 2.424442116063504, stepsize: 4.10933532491314e-07
it: 357, loss: 2.4244425052178076, stepsize: 3.698401792421826e-07
it: 358, loss: 2.4244408682959273, stepsize: 3.698401792421826e-07
it: 359, loss: 2.4244395449132146, stepsize: 3.698401792421826e-07
it: 360, loss: 2.424441302475624, stepsize: 3.3285616131796434e-07
