2019-05-19 18:19:22
sign_sgd_majority_two-point_log-reg_var-step_20_10,0_1
it: 277, loss: 1.9510396057278745, stepsize: 0.6008417681261097
it: 278, loss: 1.9510396057278745, stepsize: 0.5997601439040672
it: 279, loss: 1.9510396057278745, stepsize: 0.5986843400892496
it: 280, loss: 1.931714370702731, stepsize: 0.5976143046671968
it: 281, loss: 1.931714370702731, stepsize: 0.5965499862718936
it: 282, loss: 1.931714370702731, stepsize: 0.5954913341754137
it: 283, loss: 1.931714370702731, stepsize: 0.5944382982777641
it: 284, loss: 1.931714370702731, stepsize: 0.5933908290969266
it: 285, loss: 1.931714370702731, stepsize: 0.5923488777590923
it: 286, loss: 1.931714370702731, stepsize: 0.5913123959890826
it: 287, loss: 1.931714370702731, stepsize: 0.5902813361009552
it: 288, loss: 1.931714370702731, stepsize: 0.5892556509887896
it: 289, loss: 1.931714370702731, stepsize: 0.5882352941176471
it: 290, loss: 1.931714370702731, stepsize: 0.5872202195147035
it: 291, loss: 1.931714370702731, stepsize: 0.5862103817605492
it: 292, loss: 1.931714370702731, stepsize: 0.5852057359806528
it: 293, loss: 1.931714370702731, stepsize: 0.584206237836986
it: 294, loss: 1.8882188732224792, stepsize: 0.5832118435198043
it: 295, loss: 1.8882188732224792, stepsize: 0.582222509739582
it: 296, loss: 1.8882188732224792, stepsize: 0.5812381937190965
it: 297, loss: 1.8882188732224792, stepsize: 0.5802588531856595
it: 298, loss: 1.8882188732224792, stepsize: 0.5792844463634923
it: 299, loss: 1.8882188732224792, stepsize: 0.5783149319662402
it: 300, loss: 1.8882188732224792, stepsize: 0.5773502691896257
it: 301, loss: 1.8882188732224792, stepsize: 0.5763904177042349
it: 302, loss: 1.8882188732224792, stepsize: 0.575435337648436
it: 303, loss: 1.8882188732224792, stepsize: 0.574484989621426
it: 304, loss: 1.8882188732224792, stepsize: 0.5735393346764044
it: 305, loss: 1.8882188732224792, stepsize: 0.5725983343138683
it: 306, loss: 1.8882188732224792, stepsize: 0.5716619504750294
it: 307, loss: 1.8882188732224792, stepsize: 0.5707301455353496
it: 308, loss: 1.8882188732224792, stepsize: 0.5698028822981898
it: 309, loss: 1.8882188732224792, stepsize: 0.5688801239885742
it: 310, loss: 1.8882188732224792, stepsize: 0.5679618342470648
it: 311, loss: 1.8882188732224792, stepsize: 0.5670479771237427
it: 312, loss: 1.7403322825985974, stepsize: 0.5661385170722978
it: 313, loss: 1.7403322825985974, stepsize: 0.5652334189442215
it: 314, loss: 1.6527717632305048, stepsize: 0.5643326479831003
it: 315, loss: 1.6527717632305048, stepsize: 0.563436169819011
it: 316, loss: 1.6527717632305048, stepsize: 0.562543950463012
it: 317, loss: 1.6527717632305048, stepsize: 0.5616559563017304
it: 318, loss: 1.6527717632305048, stepsize: 0.5607721540920443
it: 319, loss: 1.6527717632305048, stepsize: 0.5598925109558544
it: 320, loss: 1.6527717632305048, stepsize: 0.5590169943749475
it: 321, loss: 1.6527717632305048, stepsize: 0.5581455721859476
it: 322, loss: 1.6527717632305048, stepsize: 0.5572782125753528
it: 323, loss: 1.6527717632305048, stepsize: 0.5564148840746572
it: 324, loss: 1.6527717632305048, stepsize: 0.5555555555555556
it: 325, loss: 1.6527717632305048, stepsize: 0.5547001962252291
it: 326, loss: 1.6527717632305048, stepsize: 0.5538487756217113
it: 327, loss: 1.6527717632305048, stepsize: 0.553001263609331
it: 328, loss: 1.6527717632305048, stepsize: 0.5521576303742327
it: 329, loss: 1.6527717632305048, stepsize: 0.5513178464199713
it: 330, loss: 1.6527717632305048, stepsize: 0.5504818825631803
it: 331, loss: 1.6527717632305048, stepsize: 0.5496497099293127
it: 332, loss: 1.6527717632305048, stepsize: 0.5488212999484517
it: 333, loss: 1.6527717632305048, stepsize: 0.547996624351191
it: 334, loss: 1.6527717632305048, stepsize: 0.5471756551645828
it: 335, loss: 1.6527717632305048, stepsize: 0.546358364708153
it: 336, loss: 1.6527717632305048, stepsize: 0.545544725589981
it: 337, loss: 1.6527717632305048, stepsize: 0.5447347107028433
it: 338, loss: 1.6527717632305048, stepsize: 0.5439282932204212
it: 339, loss: 1.6527717632305048, stepsize: 0.5431254465935684
it: 340, loss: 1.6527717632305048, stepsize: 0.5423261445466404
it: 341, loss: 1.6527717632305048, stepsize: 0.5415303610738823
it: 342, loss: 1.6527717632305048, stepsize: 0.5407380704358752
it: 343, loss: 1.6527717632305048, stepsize: 0.5399492471560389
it: 344, loss: 1.6527717632305048, stepsize: 0.539163866017192
it: 345, loss: 1.6527717632305048, stepsize: 0.5383819020581655
it: 346, loss: 1.6527717632305048, stepsize: 0.5376033305704704
it: 347, loss: 1.6527717632305048, stepsize: 0.5368281270950189
it: 348, loss: 1.6527717632305048, stepsize: 0.5360562674188973
it: 349, loss: 1.5622584119442116, stepsize: 0.5352877275721892
it: 350, loss: 1.5622584119442116, stepsize: 0.5345224838248488
it: 351, loss: 1.5622584119442116, stepsize: 0.5337605126836238
it: 352, loss: 1.5622584119442116, stepsize: 0.5330017908890261
it: 353, loss: 1.5622584119442116, stepsize: 0.5322462954123495
it: 354, loss: 1.5622584119442116, stepsize: 0.5314940034527339
it: 355, loss: 1.5622584119442116, stepsize: 0.5307448924342753
it: 356, loss: 1.5622584119442116, stepsize: 0.52999894000318
it: 357, loss: 1.5622584119442116, stepsize: 0.5292561240249631
it: 358, loss: 1.5622584119442116, stepsize: 0.52851642258169
it: 359, loss: 1.5622584119442116, stepsize: 0.5277798139692595
it: 360, loss: 1.5622584119442116, stepsize: 0.5270462766947299
it: 361, loss: 1.5622584119442116, stepsize: 0.5263157894736842
it: 362, loss: 1.5622584119442116, stepsize: 0.5255883312276367
it: 363, loss: 1.5622584119442116, stepsize: 0.524863881081478
it: 364, loss: 1.5622584119442116, stepsize: 0.5241424183609592
it: 365, loss: 1.5622584119442116, stepsize: 0.5234239225902138
it: 366, loss: 1.5622584119442116, stepsize: 0.5227083734893166
it: 367, loss: 1.5622584119442116, stepsize: 0.5219957509718806
it: 368, loss: 1.5622584119442116, stepsize: 0.5212860351426869
it: 369, loss: 1.5622584119442116, stepsize: 0.5205792062953536
it: 370, loss: 1.5622584119442116, stepsize: 0.5198752449100363
it: 371, loss: 1.5622584119442116, stepsize: 0.519174131651165
it: 372, loss: 1.5622584119442116, stepsize: 0.5184758473652127
it: 373, loss: 1.5622584119442116, stepsize: 0.5177803730784977
it: 374, loss: 1.5622584119442116, stepsize: 0.5170876899950192
it: 375, loss: 1.5622584119442116, stepsize: 0.5163977794943223
it: 376, loss: 1.5622584119442116, stepsize: 0.5157106231293966
it: 377, loss: 1.5622584119442116, stepsize: 0.5150262026246047
it: 378, loss: 1.5622584119442116, stepsize: 0.5143444998736397
it: 379, loss: 1.5622584119442116, stepsize: 0.5136654969375141
it: 380, loss: 1.5622584119442116, stepsize: 0.5129891760425771
it: 381, loss: 1.5622584119442116, stepsize: 0.5123155195785599
it: 382, loss: 1.5622584119442116, stepsize: 0.5116445100966508
it: 383, loss: 1.5622584119442116, stepsize: 0.510976130307596
it: 384, loss: 1.5622584119442116, stepsize: 0.5103103630798288
it: 385, loss: 1.5622584119442116, stepsize: 0.5096471914376256
it: 386, loss: 1.5622584119442116, stepsize: 0.5089865985592876
it: 387, loss: 1.5622584119442116, stepsize: 0.508328567775349
it: 388, loss: 1.5622584119442116, stepsize: 0.5076730825668095
it: 389, loss: 1.5622584119442116, stepsize: 0.5070201265633938
it: 390, loss: 1.5622584119442116, stepsize: 0.5063696835418333
it: 391, loss: 1.5622584119442116, stepsize: 0.5057217374241736
it: 392, loss: 1.5622584119442116, stepsize: 0.5050762722761054
it: 393, loss: 1.5622584119442116, stepsize: 0.5044332723053183
it: 394, loss: 1.5622584119442116, stepsize: 0.5037927218598783
it: 395, loss: 1.5622584119442116, stepsize: 0.5031546054266276
it: 396, loss: 1.5622584119442116, stepsize: 0.502518907629606
it: 397, loss: 1.5622584119442116, stepsize: 0.5018856132284956
it: 398, loss: 1.5622584119442116, stepsize: 0.5012547071170855
it: 399, loss: 1.5622584119442116, stepsize: 0.5006261743217589
it: 400, loss: 1.5622584119442116, stepsize: 0.5
it: 401, loss: 1.5622584119442116, stepsize: 0.49937616943892227
it: 402, loss: 1.5622584119442116, stepsize: 0.4987546680538164
it: 403, loss: 1.5622584119442116, stepsize: 0.49813548138671787
it: 404, loss: 1.5622584119442116, stepsize: 0.4975185951049946
it: 405, loss: 1.5622584119442116, stepsize: 0.49690399499995325
it: 406, loss: 1.5622584119442116, stepsize: 0.4962916669854651
it: 407, loss: 1.5622584119442116, stepsize: 0.49568159709660964
it: 408, loss: 1.5622584119442116, stepsize: 0.4950737714883372
it: 409, loss: 1.5622584119442116, stepsize: 0.49446817643414875
