2019-05-15 16:35:21
sign_sgd_majority_two-point_log-reg_var-step_3_10,0_1
it: 141, loss: 18.310403104099827, stepsize: 0.8421519210665189
it: 142, loss: 18.310403104099827, stepsize: 0.8391813582966892
it: 143, loss: 18.310403104099827, stepsize: 0.8362420100070908
it: 144, loss: 18.310403104099827, stepsize: 0.8333333333333334
it: 145, loss: 18.310403104099827, stepsize: 0.8304547985373997
it: 146, loss: 18.310403104099827, stepsize: 0.827605888602368
it: 147, loss: 18.282223590135853, stepsize: 0.8247860988423226
it: 148, loss: 18.056918088803275, stepsize: 0.8219949365267865
it: 149, loss: 18.056918088803275, stepsize: 0.8192319205190405
it: 150, loss: 18.056918088803275, stepsize: 0.816496580927726
it: 151, loss: 18.01786125942209, stepsize: 0.8137884587711595
it: 152, loss: 18.01786125942209, stepsize: 0.8111071056538127
it: 153, loss: 18.01786125942209, stepsize: 0.8084520834544433
it: 154, loss: 18.01786125942209, stepsize: 0.8058229640253802
it: 155, loss: 18.01786125942209, stepsize: 0.8032193289024988
it: 156, loss: 18.01786125942209, stepsize: 0.8006407690254357
it: 157, loss: 18.01786125942209, stepsize: 0.7980868844676221
it: 158, loss: 18.01786125942209, stepsize: 0.79555728417573
it: 159, loss: 18.009978017246073, stepsize: 0.7930515857181442
it: 160, loss: 16.952648574116807, stepsize: 0.7905694150420948
it: 161, loss: 16.952648574116807, stepsize: 0.7881104062391007
it: 162, loss: 16.952648574116807, stepsize: 0.7856742013183862
it: 163, loss: 16.952648574116807, stepsize: 0.7832604499879574
it: 164, loss: 16.952648574116807, stepsize: 0.7808688094430304
it: 165, loss: 16.952648574116807, stepsize: 0.778498944161523
it: 166, loss: 16.952648574116807, stepsize: 0.7761505257063328
it: 167, loss: 16.952648574116807, stepsize: 0.7738232325341369
it: 168, loss: 16.952648574116807, stepsize: 0.7715167498104595
it: 169, loss: 16.952648574116807, stepsize: 0.7692307692307693
it: 170, loss: 16.952648574116807, stepsize: 0.7669649888473704
it: 171, loss: 16.952648574116807, stepsize: 0.7647191129018726
it: 172, loss: 16.780137977820065, stepsize: 0.7624928516630234
it: 173, loss: 16.780137977820065, stepsize: 0.7602859212697055
it: 174, loss: 16.780137977820065, stepsize: 0.7580980435789034
it: 175, loss: 16.780137977820065, stepsize: 0.7559289460184545
it: 176, loss: 16.780137977820065, stepsize: 0.753778361444409
it: 177, loss: 16.780137977820065, stepsize: 0.7516460280028289
it: 178, loss: 16.780137977820065, stepsize: 0.7495316889958614
it: 179, loss: 16.780137977820065, stepsize: 0.7474350927519359
it: 180, loss: 16.780137977820065, stepsize: 0.7453559924999299
it: 181, loss: 16.67185979229362, stepsize: 0.7432941462471664
it: 182, loss: 15.717501753047236, stepsize: 0.7412493166611012
it: 183, loss: 15.717501753047236, stepsize: 0.7392212709545728
it: 184, loss: 15.011666308668536, stepsize: 0.7372097807744856
it: 185, loss: 15.011666308668536, stepsize: 0.7352146220938077
it: 186, loss: 14.611326634023085, stepsize: 0.7332355751067665
it: 187, loss: 14.611326634023085, stepsize: 0.7312724241271307
it: 188, loss: 14.611326634023085, stepsize: 0.7293249574894728
it: 189, loss: 14.611326634023085, stepsize: 0.727392967453308
it: 190, loss: 14.611326634023085, stepsize: 0.7254762501100117
it: 191, loss: 14.611326634023085, stepsize: 0.7235746052924217
it: 192, loss: 14.611326634023085, stepsize: 0.7216878364870323
it: 193, loss: 14.611326634023085, stepsize: 0.7198157507486945
it: 194, loss: 14.611326634023085, stepsize: 0.7179581586177382
it: 195, loss: 14.309865228464103, stepsize: 0.7161148740394329
it: 196, loss: 14.309865228464103, stepsize: 0.7142857142857143
it: 197, loss: 14.309865228464103, stepsize: 0.7124704998790965
it: 198, loss: 14.309865228464103, stepsize: 0.7106690545187014
it: 199, loss: 14.309865228464103, stepsize: 0.7088812050083358
Master: sending signal to all workers to stop.
