2019-05-19 18:27:32
sign_sgd_majority_one-point_log-reg_var-step_20_5,0_1
it: 411, loss: 3.0716604245652226, stepsize: 0.24663181183349503
it: 412, loss: 3.535563840934185, stepsize: 0.2463323195410733
it: 413, loss: 2.7145348752566854, stepsize: 0.24603391565256144
it: 414, loss: 3.218992208805473, stepsize: 0.24573659359149524
it: 415, loss: 2.920620454832232, stepsize: 0.245440346836908
it: 416, loss: 2.345722063734021, stepsize: 0.24514516892273006
it: 417, loss: 1.462732578157865, stepsize: 0.24485105343719588
it: 418, loss: 2.0453762640990596, stepsize: 0.24455799402225925
it: 419, loss: 2.8557379876022964, stepsize: 0.24426598437301575
it: 420, loss: 3.789658848715077, stepsize: 0.2439750182371333
it: 421, loss: 2.831941377053879, stepsize: 0.24368508941428965
it: 422, loss: 2.2090277936675555, stepsize: 0.24339619175561772
it: 423, loss: 1.234442843944695, stepsize: 0.2431083191631576
it: 424, loss: 1.0865145865548285, stepsize: 0.24282146558931603
it: 425, loss: 1.8315954015933649, stepsize: 0.24253562503633297
it: 426, loss: 2.4457662121042256, stepsize: 0.2422507915557546
it: 427, loss: 1.3823745038928008, stepsize: 0.24196695924791364
